month-day,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
04-16,0.38,0.08,0.38,13.27,1.29,2.67,3.88,0.6,1.04,1.07,0.28,0.02,4.6,0.6,0.13,0.2,3.98,3.99,0.41,5.51,2.89
04-17,0.14,0.05,0.49,16.47,2.2,1.6,3.37,0.51,2.25,0.89,0.02,0,7.81,0.96,0.08,0.32,3.25,0.29,0.88,6.75,1.28
04-18,0.32,0.31,0.09,12.13,0.39,1.59,0.93,0.38,2.63,0.3,0.43,0.02,1.27,0.45,0.3,0.33,10.06,0.69,0.55,3.72,5.58
04-19,0.87,0.06,0.16,7.66,1.47,0.5,1.2,0.99,3.06,0.2,0.26,0.3,6.62,1.33,0.08,0.09,13.25,12.93,0.99,2.29,7.29
04-20,0.66,0.06,0.98,9.35,0.83,1.14,1.47,1.05,1.67,0.12,0.47,0.12,5.35,3.06,1.31,0.19,17.81,0.6,5,4.13,1.72
04-21,0.28,0.02,2.82,6.89,0.85,4.85,1.81,0.56,9.71,4.61,1.43,0.61,0.27,0.16,0.57,0.32,29.31,0.31,2.13,5.82,0.77
04-22,0.36,0.03,0.95,5.56,0.51,7.51,0.1,0.84,5.16,4.61,0.41,2.3,0.17,0.1,0.16,0.09,2.07,0.82,0.39,0.51,0.41
04-23,1.4,0.02,0.51,6.6,0.78,4.49,0.62,0.78,0.8,3.5,0.27,1.48,0.04,0.01,0.07,0.14,2.02,1.23,1.3,0.38,0.92
04-24,0.74,0.01,0.66,7.14,0.47,4.5,1.04,0.47,3.72,9.2,0.88,2.01,0.19,0,0.38,0.06,2.02,0.72,5.12,1.66,1.53
04-25,1.03,0.03,3.58,8.32,0.62,6.03,4.06,0.53,0.77,2.39,1.78,1.78,0.12,0,0.29,0.01,4.09,0.37,0.33,6.72,4.28
04-26,4.01,0.13,0.11,0.72,0.11,4.54,0.28,1,0.02,2.01,4.85,0.07,0.03,0,2.81,0.26,0.11,2.16,6.34,2.68,0.24
04-27,3.89,0.06,0.03,0.41,0.37,6.37,0.12,0.07,0.01,3.06,4.41,0.07,0.09,0,1.36,0.13,0.14,2.4,6.92,0.44,0.14
04-28,3.31,0.13,0.07,0.25,0.11,7.09,0.13,0.25,0.01,2.32,1.35,0.1,0.05,0.11,2.14,0.01,1.49,2.72,6.63,0.36,0.02
04-29,3.99,0.1,0.03,0.08,0.04,5.89,0.09,0.09,0,4.52,2.42,0.04,0.07,0.14,1.03,0.04,0.15,4.43,3.61,0.49,0.01
04-30,1.8,0.12,0.12,0.1,0.1,0.64,0.09,0.23,0,3.52,4.02,0.02,0.02,0,0.82,0.01,0.05,25.63,5.18,0.23,0.04
05-01,0.37,0,0.24,7.49,4.12,4.15,0.01,0.07,0.2,2.25,1.82,0.01,0.09,0.42,0.2,0.01,0,4.85,0.2,0.18,0.34
05-02,1.29,0,0.84,2.89,2.79,0.97,0.03,0.09,0.5,7.74,0.52,0.01,0.03,0.89,0.2,0.14,0.01,1.28,0.06,0.17,0.07
05-03,0.27,0,0.47,1.78,5.48,2.59,0.02,0.05,2.7,2.16,0.97,0,0.28,0.37,0.04,0.08,0.01,3.13,0.07,1.23,0.19
05-04,0,0,0.55,0.73,2.47,1.04,0.02,0.19,5.67,0.44,2.49,0.01,0.23,0.57,0.92,0.05,0.01,2.32,0.01,2.71,0.04
05-05,0.22,0,0.11,0.68,0.89,0.91,0.01,0.02,10.1,0.7,0.86,0.01,0.38,0.67,2.34,0.01,0.01,6.66,0.01,1.81,0.01
05-06,0,0.02,0.04,0.08,0.12,0.33,0.28,0.02,0.11,0.05,15.57,0.25,0.52,0.07,11.35,0.19,0.09,1.16,0.3,5.5,0.01
05-07,0,0.03,0.06,2.2,0.01,0.66,0.69,0.02,0.06,0.01,6.51,0.22,1.55,0.01,13.36,0.08,0.03,0.03,0.55,2.04,0.05
05-08,0,0.04,0.05,0.01,0.28,0.34,1.21,0.02,0.04,0.21,12.17,0.18,1.88,0.08,38.26,0.01,0.03,1.05,1.27,2.62,0.02
05-09,0,0.04,0.02,0,0.81,1.69,0.29,0.01,0.08,0.15,12.24,0.61,1,0.26,0.28,0.02,0,1.27,0.71,0.64,0.03
05-10,0,0.02,0.24,3.34,1.18,2.76,0.64,0.01,0.05,0.16,5.06,0.75,1.27,2.19,0.81,0.05,0.03,0.34,2.67,0.09,0.02
05-11,0,0,0.11,0.4,2.45,2.97,0.01,1.2,0.91,0.2,1.05,0.29,0.11,0.24,0.93,1.3,0.82,0.02,1.1,0.35,0.15
05-12,0.02,0,0.06,5.26,2.38,0.77,0,2.47,0.22,0.05,2,0.04,0.05,0,3.42,0.84,1.38,0,0.27,0.2,0.24
05-13,0,0,0.01,10.85,0.71,2.36,0,0.38,0.35,0.1,0.08,0,0.03,0,2.69,0.55,2.94,0,0.75,0.46,0.23
05-14,0,0.01,0.04,19.44,0.15,0.52,0,0.86,0.24,2.39,0.7,0.02,0.01,0,0.12,4.15,0.26,0,0.35,0.58,0.67
05-15,0,0,0.01,26.69,0.06,0.81,0,0.23,1.34,0.42,5.9,0.03,0.01,0,0.17,1.37,0.51,0,0.15,0.92,0.05
05-16,0.01,0.01,0,1.63,0.72,0.46,0.06,0.12,0.07,0.7,0.41,0.54,0.03,0.02,0.05,0.2,0.01,0,0.29,1.56,2.22
05-17,0,0.03,0,0.91,0.15,1.02,0.01,0.37,0.19,0.43,0.29,0.61,0.04,0.01,0.79,0.11,0,0,0.27,1.33,1.67
05-18,0,0.01,0,0.44,0.49,1.08,0.07,0.18,0.02,0.07,0.13,0.25,0.01,0.02,0.1,0.02,0,0,0.13,0.85,0.15
05-19,0,0.01,0,0.42,4.2,0.14,0.03,0.11,0.26,0.95,0.1,0.59,0.03,0.01,0.06,0.02,0.03,0.01,0.27,2.06,0.35
05-20,0,0.03,0,0.11,1.76,0.08,0.08,0.09,0.24,1.38,0.05,0.23,0.05,0.01,0.1,0.01,0.03,0,0.18,1.13,0.13
05-21,0,0,0,2.62,0.39,0.42,0,0.31,0.56,0,0,0.02,0.06,0.2,7.18,0,0.77,0,0.02,0.03,0.04
05-22,0.02,0,0,0.57,0.22,0.7,0.01,0.45,0.01,0,0.01,0.01,0.04,0.19,0.08,0,0.1,0,0.05,0.1,0.06
05-23,0,0.01,0,0.19,0.14,2.65,0,0.57,2.7,0,0.04,0.03,0.02,0.32,0.63,0,0.36,0.01,0.07,0.03,0.75
