month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
04-16,0,0,0.02,0.04,0.04,0,1.02,0.04,0.7,7.59,0.01
04-17,0,0.88,2.07,9.03,3.65,0.01,0.45,27.61,2.45,1.44,5.26
04-18,5.86,0,1.68,34.93,19.21,0.04,68.92,6.81,17.79,1.3,5.06
04-19,0.55,0.05,1.31,0.09,0,0.04,0.06,0,1.94,0.14,0.44
04-20,0.27,8.61,0,0,0,0.01,16.29,0,11.67,0.28,0
04-21,13.91,4.57,14.15,0.02,0,0.03,0.01,0,12.56,0.1,4.54
04-22,3.33,2.9,4.53,3.84,0.03,0.84,0.91,0,21.64,0.01,7.85
04-23,1.45,0.19,0.25,0.34,1.32,0.03,0.36,0,0.05,0,0.25
04-24,0.37,0,3.23,0,6.53,4.18,1.64,0,14.32,0,14.29
04-25,0,0.04,0,0,35.55,2.97,0.01,0.58,0.06,0.01,1.68
04-26,0,0,0.01,0.16,0.27,7.16,0.03,0,2.25,22.27,0.01
04-27,0,0,1.35,5.74,0.07,14.3,3.97,0.13,10.76,0,1.66
04-28,0,0.01,26.74,0.2,0.01,0,0.77,0.02,0.3,0.01,0.01
04-29,0.96,0.04,0.03,0.63,0,0.14,0,37.25,36.02,1.24,0.05
04-30,23.82,0.18,0.01,0,0.02,20.02,0,2.13,0.01,27.82,3.71
05-01,8.88,0,0,2.53,0.01,17.44,0,6.92,12.71,1.6,27.82
05-02,0,0.01,0.04,0,9.25,5.58,0.02,3.29,2.31,0.06,4.55
05-03,0.01,0,0.2,0,9.75,0,0.01,0,0.46,0,0
05-04,0,0.16,14.3,0,0.41,2.11,4.05,0,0,0,0
05-05,2.05,0.58,0,0.03,0.01,0.1,0.56,4.35,0,0,0.01
05-06,1.5,0,1.43,0.16,0.01,0.88,12.45,7.91,0.18,0,0.08
05-07,0,0.02,0.26,0.25,17.61,3.3,1.41,4.03,2.78,39.1,12.62
05-08,0.21,0.02,0,0,14.56,0,0,0.03,0.42,50.9,3.65
05-09,1.81,0.77,13.71,0.03,33.5,0,0.06,0.11,14.81,0,3.59
05-10,0,0.49,10.37,8.07,3.57,0,1.44,0.01,3.06,0,0
05-11,0,0,13.08,0.04,0,0,3.79,0.44,0.31,5.73,0.01
05-12,2.06,6.36,0.06,0.16,0.01,0.2,0.18,0.02,4.33,12.92,0.34
05-13,11.54,11.86,0,51.24,33.83,0.65,0.28,15.4,45.18,6.45,54.25
05-14,0.03,0.17,0,0.54,3.9,14.64,0,0.22,30.57,3.01,0.19
05-15,6.89,0.38,0.08,1.45,0.01,1.95,0,0.03,0.61,18.47,17.44
05-16,0,16.77,0.01,0.46,0.01,0.01,23.23,0.95,18.04,0.07,9.5
05-17,0,0.04,37.5,0.19,0.03,0,1.63,1.66,0.89,0.02,0
05-18,0,2.14,0.02,3.76,0.15,0.06,6.52,3.49,0.01,0.01,0.11
05-19,0,10.47,0,0.02,2.68,0.02,44.86,16.16,0,19.89,1.31
05-20,1.84,6.8,0.08,0.03,0.02,1.83,3.59,7.55,0.14,14.26,29.14
05-21,51.91,9.2,0.21,0.01,0,88.13,2.21,8.4,6.25,0.09,0.07
05-22,3.75,0,0.04,0,0,0.28,12.81,9.58,7.16,3.32,0.04
05-23,1.69,0.11,0,0,13.29,0,4.71,3.3,4.87,22.29,0.03
05-24,0.03,1.22,0,0.08,7.04,0.02,0.01,0.32,0.01,0.25,0
05-25,0,0.24,0,2.51,0,0.02,0.05,0.31,0,0.01,0.01
05-26,7.16,0.15,0.18,16.96,0.11,0.07,9.02,0.09,0.1,0,0.17
05-27,39.57,0.03,25.37,0.81,0.17,0.02,1.08,41.09,28.04,0,1.89
05-28,0.36,0.05,0,0.1,0.1,1.3,1.53,0.06,1.01,0.37,15.95
05-29,0.91,12.46,0.04,0,0,14.12,1.6,0.07,0,20.2,17.77
05-30,0,1.79,11.78,0.09,9.25,0,0.23,0.74,0.83,7.65,1.43
05-31,0,0.04,0.81,0.27,6.21,0.03,0.08,2.95,11.69,9.36,38.62
06-01,0,0,0.1,7.6,0.3,0.17,1.52,6.64,0.22,5.35,3.04
06-02,0.01,0.04,0,1.91,0.01,0.18,0.47,0.06,1.02,161,18.23
06-03,0,28.64,0,0,0,0.94,0.47,0.08,7,80.11,8.98
06-04,0.01,0.33,0.01,0.09,0.01,0.01,0.24,22.15,0.03,0.01,2.08
06-05,14.37,16.53,2.83,1.54,0.14,0.01,0.07,0.18,1.8,0.03,0
06-06,82.26,23.65,0.15,0.05,9.55,0.02,2.39,4.01,39.14,7.01,0
06-07,67.66,0,0.46,0.03,2.12,19.47,1.88,0.18,4.03,9.01,0.01
06-08,11.01,1.02,0.71,5.37,3.1,7.07,0.65,2.14,5.67,13.25,0.01
06-09,1.53,35.21,6.83,0.53,3.79,5.05,0,0,2.61,38.73,0.92
06-10,2.06,0,0.09,0.1,16.67,77.34,0.12,0,1.36,1.18,7.94
06-11,33.3,0.63,0.01,0.39,38.25,4.37,7.77,0.01,5.28,15.71,0.06
06-12,18.81,11.9,1.78,0.45,1.93,4.24,10.9,0.1,7.89,7.42,0.06
06-13,0.19,0.25,61.02,5.57,0.48,0,24.06,0.11,0.22,7.51,0.38
06-14,0.13,1.81,0.13,4.59,0.74,1.37,5.31,5.55,3.06,4.28,0.15
06-15,0,0.06,1.06,0.03,8.77,55.29,0.61,1.33,10.65,40.49,7.26
06-16,0.45,2.3,5.8,1.07,6.74,3.85,1.13,7.52,0.12,4.54,14.24
06-17,0.13,2.87,1.35,0.03,0.04,0,0.08,4.04,0.12,0.02,0.68
06-18,2.64,2.32,0,25.43,5.01,0.36,3.77,0.05,11.49,0.33,109.93
06-19,0.13,15.04,1.16,6.19,0.55,0.49,41.74,11.19,0.13,2.2,0.21
06-20,1.21,0.34,1.88,0.3,37.15,0.39,0.35,24.76,0.29,0.23,0.02
06-21,0.48,3.49,9.61,43.37,20.92,1.1,0.89,3.46,4.1,0,62.96
06-22,4.97,0.71,1.96,0.01,0.01,6.7,30.33,0.18,25.16,34,1.74
06-23,1.97,8.82,43.65,0,12.88,1.1,3.21,1.26,1.4,4.29,21.35
06-24,5.4,1.83,2.25,0.08,11.51,23.23,5.29,2.96,0.31,0.28,0.96
06-25,9.52,0.07,5.33,17.62,0.04,0.59,19.34,2.18,0.08,0.36,0.19
06-26,0.16,8.73,0.85,0.41,0.11,0.01,0.65,0.04,0.08,0.6,2.81
06-27,2.12,5.47,0.05,1.38,0.03,2.34,0.15,5.38,0.67,0.79,0.51
06-28,10.51,0.85,37.05,3.34,0.38,6.37,51.4,1.36,0.17,4.55,62.87
06-29,11.64,0.08,2.43,0.01,0.19,5.95,0.65,31.34,0.06,9.82,7.51
06-30,0.39,0.89,1.64,2.49,0.06,13.23,8.84,2.11,0.1,5.14,0.57
07-01,2.56,19.55,0.54,7.64,0.05,5.29,22.58,90.31,0.07,17.83,4.07
07-02,0.14,11.79,0.2,1.02,0.07,0.74,12.91,69.99,0.09,16.91,5.55
07-03,3.78,45.4,1.53,0.55,0.03,2.83,13.26,73.98,2.07,1.37,0.5
07-04,15.79,16.53,1.53,27.58,1.08,55.3,26.83,18.54,2.76,3.88,0.29
