month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
04-14,11.56,11.18,7.77,9.16,11.18,11.98,9.17,10.96,14.12,16.55,10.81
04-15,10,10.48,8.32,9.94,4.89,11.24,7.28,10.02,11.66,13.41,15.23
04-16,3.25,8.87,8.82,15.57,8.9,9.27,6.35,7.86,11.04,13.27,12.28
04-17,4.01,12.17,10.09,14.18,5.49,9.04,5.81,8.76,6.89,12.94,9.91
04-18,4.17,12.99,12.84,10.05,6.29,10.85,6.36,10.4,6.69,10.74,8.01
04-19,8.91,8.9,12.79,8.6,6.43,13.12,8.13,11.25,7.82,10.16,8.36
04-20,7.38,10.51,10.32,11.12,5.09,12.21,8.56,11.87,8.64,9.78,10.6
04-21,8.16,11.51,11.49,10.16,7.21,11.38,8.93,10.22,9.5,11.43,7.59
04-22,10.37,10.02,14.88,10.54,8.46,11.76,5.7,5.46,11.95,12.42,8.65
04-23,9.55,6.39,13.89,9.52,8.5,13.85,5.69,8.35,10.13,13.43,9.14
04-24,8.2,4.99,10.59,9.87,9.45,13.87,8.17,10.8,10.14,10.65,12.1
04-25,7.93,6.79,11.68,10.7,10.41,10.6,8.84,10.49,9.84,10.68,7.37
04-26,9.57,8.91,13.09,12.35,12.53,12.51,8.32,8.5,12.09,10.48,8.45
04-27,9.15,9.19,9.83,12.75,10.3,10.72,7.17,9.77,9.55,10.54,9.12
04-28,9.62,11.2,9.3,15.95,10.62,9.4,9.4,14.8,7.21,10.17,12.5
04-29,7.81,13.27,9.31,16.75,9.58,8.87,9.53,16.46,8.41,10.82,15.46
04-30,8.44,9.62,9.56,12.13,7.64,11.43,11.64,13.5,10,11.81,11.74
05-01,13.79,8.69,9.15,13.8,12.63,10.74,12.55,9.89,10.66,11.81,13.13
05-02,13.04,9.85,10.78,15.95,15.68,12.19,13.01,14.39,10.81,10.38,15.01
05-03,11.88,11.72,10.58,12.48,17.18,10.83,14.54,12.37,10.74,9.88,11.64
05-04,11.87,14,9.62,10.48,16.72,13.19,13.02,12.99,12.29,10.27,10.94
05-05,11.39,16.16,9.19,12.19,14.3,11.12,10.19,12.24,13.74,11.61,10.67
05-06,11.81,13.99,9.54,13.39,12.39,12.37,8.93,12.05,11.31,14.15,14.9
05-07,11.38,13.96,10.33,10.67,13.73,12.58,11.17,11.33,9.47,14.69,16.54
05-08,12.25,14.39,11.49,10.23,12.71,13.14,8.58,10.3,9.91,16.35,16.99
05-09,12.95,14.26,12.77,10.99,12.96,11.43,5.46,10.22,10.77,13.81,15.09
05-10,15.9,16.55,11.1,11.46,12.97,14.88,9.03,11.54,11.62,14.15,10.69
05-11,16.64,17.35,12.62,11.05,15.88,14.68,10.21,11.98,12.73,16.05,10.97
05-12,16.25,18.43,13.8,11.16,13.44,9.2,9.14,11.7,13.47,18.32,10.07
05-13,13.85,14.3,13.45,9.85,11.67,8.49,9.63,13.02,12.7,18.35,12.54
05-14,12.22,13.37,14.62,11.88,13.91,8.81,11.45,14.34,14.4,15.67,14.24
05-15,15.65,13.75,10.47,13.1,17.11,12.15,15.9,14.79,15.83,15.1,14.3
05-16,15.44,15.93,10.56,15.19,14.18,15.08,15.72,15.25,15.6,16.68,14.87
05-17,14.14,19.14,12.24,17.01,14.61,15.18,11.88,15.9,15.75,13.86,15.38
05-18,13.35,15.69,12.47,19.81,13.48,15.21,12.31,16.74,14.36,10.98,14.77
05-19,13.67,16.69,13.68,20.59,12,15.72,12.42,18.7,13.8,13.76,15.22
05-20,15.84,14.28,14.63,13.98,17.7,18.67,11.03,15.63,15.19,14.96,14.47
05-21,16.09,12.6,13.11,13.28,15.77,15.13,10.78,16.19,18.6,16.11,16.29
05-22,15.21,15.11,14.22,14.06,14.15,15.58,14.14,20.42,19.79,15.53,17.7
05-23,15.56,12.49,15.02,15.42,17.57,15.65,14.53,21.25,16.96,13.99,18.82
05-24,14.81,15.06,15.8,14.61,18.08,17.63,12.66,15.42,14.93,14.81,20.21
05-25,17.31,16.97,18.86,13.81,18.4,15.03,13.41,16.35,14.16,14.43,17.84
05-26,18.81,17.67,19.04,16.6,20.25,19.43,14.86,19.32,15.15,15.75,18.37
05-27,19.76,18.18,18.98,16.5,15.72,19.83,15.29,20.16,17.41,15.73,18.3
05-28,14.74,18.95,19.4,15.36,13.94,17.56,16.51,14.63,18.87,16.4,20.11
05-29,12.75,18,18.91,13.69,17.99,16.84,17.57,10.71,18.4,16.76,18.74
05-30,15.78,19.09,18.98,13.87,16.02,16.48,18.53,11.35,20.1,14.44,17.68
05-31,15.56,19.6,20.02,16.81,16.35,19.81,15.43,13.97,23.24,15.03,18.13
06-01,16.29,16.38,18.87,17.96,18.46,18.09,14.68,15.92,16.74,17.57,19.17
06-02,17.17,12.69,17.1,16.83,20.74,19.2,16.2,15.97,19.23,19.35,19.12
06-03,19.22,13.72,17.43,15.96,14.39,16.7,18.87,17.14,18.69,16.81,21.16
06-04,19.3,13.41,19.36,15.73,15.14,15.97,19.55,18.8,19,14.63,19.4
06-05,18.4,14.33,19.06,17.02,16.9,19.19,19.06,20.92,17.72,17.18,19.97
06-06,18.19,16.33,20.82,13.85,15.54,21.62,20.72,21.83,18.93,17.77,21.73
06-07,19.4,15.57,20.96,14.53,15.4,19.07,18.7,21.12,18.93,16.78,21.77
06-08,19.96,17.74,16.2,14.55,18.29,18.15,18.52,21.37,21.35,16.55,20.17
06-09,18.84,19.48,15.98,17.39,19.57,17.12,20.1,22.81,21.22,17.07,20.32
06-10,19.7,19.33,17.2,19.26,17.45,17.76,19.69,20.11,20.05,18.34,19.14
06-11,17.74,20.76,19.22,20.84,15.81,19.05,19.92,17.6,20.63,19.17,18.71
06-12,18.28,21.52,20.56,22.46,16.5,17.11,20.95,17.91,19.65,19.14,19.62
06-13,19.78,21.65,17.46,23.24,18.9,16.56,17.84,18.4,22.1,19.49,20.39
06-14,18.84,20.64,18.3,20.29,20.54,17.84,16.38,18.87,21.69,18.94,21.54
06-15,18.58,21.12,19.52,18.18,18.71,18.41,17.21,20.63,20.54,19.5,20.81
06-16,19.47,20.5,18.53,18.51,20.17,20.12,17.8,19.35,19.95,18.97,19.05
06-17,22.23,19.79,18.42,19.7,21.01,20.16,18.07,19.08,23.17,19.5,21.45
