month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
03-15,-52.43,-55.59,-51.98,-55.64,-58.37,-57.25,-53.43,-51.86,-46.53,-49.35,-46.66
03-16,-54.72,-56.18,-52.32,-51.9,-58.83,-58.05,-52.65,-51.22,-51.34,-52.01,-48.96
03-17,-51.74,-55.39,-55.53,-50.83,-53.18,-58.21,-53.52,-53.71,-48.74,-52.58,-49.57
03-18,-47.56,-53.46,-54.52,-45.06,-46.88,-59.03,-58.08,-54.17,-51.93,-54.07,-51.13
03-19,-54.72,-52,-55.86,-43.68,-51.51,-57.42,-57.47,-52.73,-52.58,-57.43,-41.93
03-20,-56.75,-53.22,-57.93,-47.93,-52.2,-52.34,-55.98,-46.81,-52.54,-57.89,-42.37
03-21,-58.67,-51.73,-55.37,-47.98,-55.92,-52.83,-54.51,-48.7,-57.96,-57.15,-49
03-22,-58.87,-54.36,-50.84,-45.27,-50.17,-53.93,-57.38,-50,-57.73,-57.25,-48.55
03-23,-59.52,-57.48,-53.98,-50.31,-38.6,-54.96,-57.99,-47.28,-54.43,-56.96,-52.94
03-24,-58.41,-48.85,-55.54,-52.59,-37.64,-55.66,-60.14,-53.78,-54.8,-51.37,-58.28
03-25,-58.18,-44.61,-54.84,-55.32,-46.37,-52.8,-58.42,-50.15,-57.14,-40.16,-57.5
03-26,-59.15,-46.54,-55.32,-57.34,-55.48,-51.47,-57.44,-51.89,-57.42,-37.65,-60.75
03-27,-60.48,-52.93,-57.3,-61.29,-50.97,-57.37,-54.88,-55.67,-56.79,-41.31,-56.77
03-28,-58.83,-56.19,-57.8,-57.75,-49.26,-58.26,-54.96,-55.48,-52.39,-43.62,-55.21
03-29,-57.57,-57.65,-55.73,-52.7,-49.52,-56.24,-52.16,-54.48,-48.98,-49.07,-57.8
03-30,-57.78,-58.68,-54.77,-52.59,-50.63,-55.58,-52.32,-54.47,-50.18,-51.18,-57.63
03-31,-55.97,-61.03,-51.2,-55.61,-53.43,-55.17,-50.72,-57.3,-52.13,-50.37,-56.72
04-01,-56.89,-61.78,-59.06,-59.15,-53.38,-56.47,-52.49,-50.82,-59.6,-43.43,-57.82
04-02,-54.42,-60.3,-55.2,-60.58,-54.72,-59.35,-59.75,-51.68,-53.07,-41.5,-56.5
04-03,-51.69,-57.47,-57.49,-58.34,-54.01,-55.92,-56.89,-55.35,-50.42,-45.18,-57.73
04-04,-58.68,-54.62,-54.7,-53,-57.48,-61.8,-54.32,-57.94,-52,-45.07,-59.6
04-05,-57.21,-50.4,-49.86,-54.55,-54.85,-63.21,-54.89,-57.81,-55.83,-50.56,-61.32
04-06,-53.67,-50.35,-54.86,-56.79,-51.42,-56.92,-58.02,-58.84,-59.11,-52.35,-62.68
04-07,-54.89,-52.89,-56.9,-53.5,-49.45,-55.24,-57.25,-60.42,-59.05,-48.77,-61.72
04-08,-59.92,-58.35,-59.78,-53.45,-51.49,-59.84,-56.62,-62.67,-58.86,-52.27,-59.03
04-09,-62.29,-60.95,-53.44,-51.53,-52.47,-59.52,-57.05,-60.09,-55.23,-59.14,-57.93
04-10,-63.59,-65.7,-55.61,-48.54,-54.58,-61.53,-55.7,-57.07,-53.11,-62.4,-57.22
04-11,-61.87,-66.78,-54.88,-51.4,-59.14,-59.33,-55.6,-58.27,-58.64,-62.91,-54.94
04-12,-54.39,-59.88,-58.43,-54.54,-60.3,-60.86,-57.22,-60.32,-58.91,-60.48,-48.68
04-13,-51.04,-48.98,-59.11,-55.71,-60.58,-58.74,-48.96,-57.4,-59.45,-51.4,-53.27
04-14,-50.37,-52.43,-57.76,-54.93,-63.82,-61.31,-56.26,-55.55,-56.34,-50.03,-54.4
04-15,-46.03,-53.33,-53.34,-58.02,-59.11,-55.31,-50.97,-50.69,-58.99,-52.92,-58.31
04-16,-44.72,-55.05,-51.54,-60.31,-58.38,-49.89,-43.45,-50.37,-58.55,-61.26,-57.4
04-17,-39.98,-58.91,-58.67,-61.79,-53.71,-48.04,-51.21,-49.96,-60.59,-58.37,-53.81
04-18,-46.13,-60.09,-60.23,-61.31,-51.41,-48.18,-53.09,-53.05,-61.24,-57,-54.38
04-19,-55.81,-59.46,-59.63,-60.54,-58.52,-55.96,-53.42,-59.11,-62.81,-55.77,-57.48
04-20,-62.04,-48.73,-55.03,-61.42,-56.21,-57.21,-49.54,-62.94,-61.66,-51.23,-60.87
04-21,-63.71,-39.76,-51.29,-61.99,-52.93,-54,-48.39,-65.55,-56.39,-50.57,-59.32
04-22,-60.06,-38.88,-47.69,-57.26,-58.02,-53.18,-56.97,-64.16,-51.55,-54.35,-58.5
04-23,-61.05,-48.17,-53.51,-61.98,-61.91,-54.97,-60.16,-65.1,-49.71,-58.66,-56.79
04-24,-60.1,-47.91,-53.8,-59.72,-60.52,-56.84,-59.38,-62.09,-54.57,-53.14,-55.83
04-25,-64.15,-55.13,-54.33,-56.87,-54.54,-55.41,-50.27,-56.23,-56.23,-49.2,-62.31
04-26,-65.34,-58.44,-55.17,-48.29,-54.83,-56.41,-54.39,-51.98,-55.96,-48.84,-66.77
04-27,-61.9,-59.57,-57.15,-46.68,-56.38,-53.98,-46.67,-53.61,-56.16,-40.58,-61.87
04-28,-54.07,-59.37,-60.75,-51.46,-60.93,-53.42,-43.19,-54.94,-59.06,-46.42,-60.28
04-29,-53.43,-62.99,-60.91,-52.91,-63.82,-55.8,-41.26,-60.83,-56.82,-47.21,-60.56
04-30,-47.97,-63.89,-56.38,-57.25,-61.34,-58.71,-44.92,-61.49,-52.81,-55.65,-49.51
05-01,-43.18,-59.84,-54.43,-63.33,-60.02,-60.22,-51.86,-61.62,-56.56,-60.91,-48.33
05-02,-43.37,-54.18,-54.09,-62.93,-63.79,-61.85,-53.69,-60.87,-55.21,-59.53,-55.11
05-03,-48.47,-53.97,-54.16,-62.13,-63.91,-58.31,-56.95,-57.39,-50.01,-57.02,-51.64
05-04,-46.63,-59.09,-55.87,-57.59,-60.26,-54.3,-54.75,-55.99,-48.42,-56.26,-49.71
05-05,-51.28,-58.73,-54.34,-60.35,-60.29,-56.44,-58.53,-53.42,-51.76,-59.75,-49.85
05-06,-54.46,-58.32,-51.97,-60.09,-51.02,-55.26,-62.44,-57.82,-54.4,-60.16,-48.7
05-07,-57.82,-55.96,-52.58,-59.68,-45.76,-54.18,-61.63,-59.76,-57.15,-60.63,-50.85
05-08,-55.25,-56.68,-44.1,-59.82,-45.43,-55.49,-55.34,-56.49,-60.44,-61.8,-52.74
05-09,-60.6,-57.41,-44.62,-64.63,-49.49,-54.43,-56.96,-54.85,-57.58,-56.07,-54.82
05-10,-56.28,-58.87,-49.86,-64.59,-46.26,-55.46,-57.67,-58.14,-59.74,-55.93,-54.94
05-11,-46.39,-55.15,-53.11,-58.45,-44.51,-59.7,-57.75,-60.92,-60.25,-58.26,-55.82
05-12,-48.2,-48.75,-55.79,-46.82,-44.49,-62.14,-59.09,-56.51,-59.51,-55.7,-61.79
05-13,-49,-53.23,-56.13,-46,-42.34,-54.92,-53.26,-61.06,-61.34,-53.74,-57.69
05-14,-52.82,-53.53,-64.83,-49.18,-44.72,-53.28,-54.7,-59.07,-57.96,-56.76,-50.59
05-15,-60.15,-56.51,-73.15,-50,-46.73,-55.15,-56.24,-58.39,-53.06,-53.46,-44.27
05-16,-57.48,-59.74,-70.03,-45.14,-48.45,-50.78,-54.47,-59.72,-55.63,-50.8,-50.07
05-17,-60.37,-64.81,-66.51,-55.12,-50.37,-52.71,-54.67,-58.12,-62.29,-48.53,-55.28
05-18,-62.56,-64.07,-60.91,-59.34,-50.48,-52.64,-58.55,-48.66,-56.42,-53.68,-56.18
05-19,-64.29,-59.72,-56.87,-59.86,-53.06,-54.12,-59.86,-46.16,-55.93,-58.25,-62.53
05-20,-63.61,-53.92,-54.35,-60.81,-60.15,-54.72,-60.24,-49.59,-59.2,-50.45,-63.5
05-21,-65.88,-56.98,-55.78,-57.27,-52.37,-55.71,-57.19,-56.27,-60.78,-53.42,-57.52
05-22,-65,-60.94,-54.07,-58.04,-48.25,-53.02,-56.61,-56.56,-65.2,-57.05,-62.89
05-23,-61.51,-62.77,-56.17,-58.11,-51.21,-56.1,-58.61,-58.17,-57.63,-54.44,-62.03
05-24,-53.63,-61.81,-56.51,-57.82,-54.89,-58.59,-63.58,-55.43,-50.28,-51.91,-60.82
05-25,-52.14,-64.08,-55.35,-57.97,-54.55,-63.24,-64.08,-57.99,-53.67,-57.21,-63.55
05-26,-59.19,-65.73,-56.51,-56.14,-58.09,-62.31,-60,-61.32,-57.13,-61.9,-65.52
05-27,-52.99,-64.72,-56.1,-52.9,-62.12,-57.91,-58.34,-57.58,-61.9,-60.88,-62.85
05-28,-51.31,-65.9,-57.82,-51.66,-58.05,-52.31,-61.98,-51.8,-62.68,-60.01,-60.62
05-29,-53.71,-61.81,-55.86,-52.86,-52.65,-53.21,-56.38,-53.49,-60.16,-55.55,-62.74
05-30,-56.87,-63.8,-60.7,-54.55,-60.21,-51.95,-47.55,-59.27,-56.6,-57.87,-59.38
05-31,-51.85,-63.76,-58.65,-55.42,-60.02,-57.3,-41.47,-65.56,-50.62,-59.55,-54.94
06-01,-54.41,-59.71,-57.42,-57.1,-49.29,-58.87,-38.87,-63.93,-52.45,-60.76,-56.13
06-02,-55.32,-61.31,-54.44,-56.96,-49.77,-59.3,-35.24,-64.57,-55.66,-62.76,-54.39
06-03,-53.6,-62.09,-55.96,-52.05,-49.09,-62.18,-37.59,-67.1,-58.54,-64.5,-61.07
06-04,-57.41,-64.61,-55.4,-49.24,-52.33,-67.41,-44.82,-66.41,-59.72,-61.83,-61.03
06-05,-50.85,-62.37,-57.2,-52.81,-45.87,-66.42,-54.27,-63.61,-57.21,-50.75,-59.88
06-06,-53.17,-62.22,-61.27,-57.03,-52.36,-63.03,-51.68,-61.4,-57.37,-48.85,-62.21
06-07,-55.21,-56.03,-64.7,-61.26,-51.26,-59.27,-55.77,-60.38,-55.1,-52.35,-63.88
06-08,-55.17,-48.89,-63.42,-64.95,-48.45,-62,-58.85,-63.28,-48.15,-53.56,-63.81
06-09,-57.78,-49.19,-65.29,-64.64,-53.76,-62,-60.65,-66.98,-52.95,-53.68,-60.39
06-10,-64.11,-51.71,-65.91,-62.67,-55.84,-57.41,-61.61,-68.6,-51.21,-57.03,-55.19
06-11,-64.15,-60.09,-53.82,-61.6,-54.02,-56.29,-61.58,-66.82,-45.83,-58.07,-54.87
06-12,-66.26,-65.9,-44.57,-62.46,-56.73,-62.42,-62.57,-66.9,-50.55,-62.62,-55.71
06-13,-64.08,-59.95,-51.16,-60.98,-59.48,-64.49,-62.43,-64.12,-51.99,-54.45,-61.41
06-14,-58.75,-55.91,-64.17,-62.27,-56.8,-65.96,-64.76,-64.34,-51.92,-46.94,-62.81
06-15,-53.43,-59.86,-61.76,-60.33,-50.68,-65.96,-62.52,-61.81,-45.28,-48.92,-58.37
06-16,-52.45,-57.16,-62.49,-60.95,-47.2,-67.12,-60.23,-60.38,-52.2,-52.94,-56.76
06-17,-52.16,-58.69,-65.4,-65.83,-40.49,-67.52,-58.72,-59.07,-52.46,-53.64,-55.58
06-18,-59.24,-61.35,-57.05,-69.77,-40.68,-65.46,-51.91,-58.03,-54.02,-55.01,-54.72
06-19,-61.16,-57.02,-50.95,-63.99,-45.83,-68.43,-40.64,-54.43,-59.3,-56.04,-59.13
06-20,-65.14,-55.56,-52.66,-55.57,-51.23,-65.72,-45.93,-58.65,-59.59,-55.85,-53.23
06-21,-59.75,-62.36,-56.81,-53.21,-55.09,-68.3,-58.44,-59.77,-54.02,-61.96,-53.95
06-22,-58.1,-61.67,-56.35,-58.03,-53.91,-62.5,-54.1,-56.97,-54.45,-61.58,-51.48
06-23,-55.41,-64.15,-58.8,-57.93,-56.17,-61.85,-56.64,-54.11,-51.2,-57.36,-52.18
06-24,-56.2,-65.53,-66.59,-60.94,-57.03,-60.7,-54.09,-58.11,-46.89,-52.61,-56.71
06-25,-59.36,-65.1,-63.62,-63.95,-61.46,-58.55,-57.44,-61.4,-48.57,-53.86,-53.55
06-26,-54.44,-63.55,-66.6,-66.76,-62.31,-55.62,-59.71,-62.06,-53.66,-57.27,-53.3
06-27,-58.15,-61.81,-61,-64.69,-59.11,-50.88,-56.34,-63.38,-56.73,-61.09,-50.82
06-28,-60.49,-64.37,-60.8,-62.75,-59.2,-54.58,-54.08,-60.83,-60.7,-60.07,-48.2
06-29,-64.75,-65.19,-59.55,-54.93,-60.45,-55.8,-50.89,-56.78,-61.62,-64.65,-54.51
06-30,-65.38,-63.02,-59.66,-51.02,-61.24,-60.36,-51.36,-52.94,-61.73,-68.34,-51.67
07-01,-62.84,-62.37,-61.96,-53.45,-59.88,-60.9,-51.45,-56.27,-56.25,-68.42,-56.8
07-02,-58.88,-67.33,-63.25,-64.43,-63.69,-62.88,-47.24,-62.58,-55.92,-66.7,-61.41
07-03,-60.81,-73.03,-66.76,-68.17,-60.6,-65.66,-56.3,-62.24,-58.24,-64.8,-54.26
07-04,-66.8,-68.71,-71.15,-65.31,-59.85,-63.2,-62.07,-60.43,-57.3,-60.53,-52.66
07-05,-68.11,-67.38,-68.83,-60.31,-60.87,-58.27,-65.02,-60.57,-54.09,-58.5,-55.87
07-06,-67.05,-69.12,-68.94,-61.65,-66.25,-52.31,-61.93,-58.51,-65.9,-65.65,-60.33
07-07,-63.35,-70.16,-63.94,-59.15,-68.79,-56.05,-61.05,-58.52,-65.19,-64.3,-59.29
07-08,-56.54,-72.36,-63.52,-55.4,-64.07,-52.65,-63.54,-55.61,-62.79,-43.09,-54.68
07-09,-55.82,-70.4,-65.03,-60.09,-62.51,-56.12,-65.66,-55.68,-62.83,-50.69,-55.37
07-10,-57.96,-69.36,-65.06,-64.76,-65.6,-58.14,-64.25,-55.95,-59.55,-50.76,-57.68
07-11,-64.9,-67,-61.42,-64.81,-68.84,-50.35,-62.45,-54.87,-57.44,-57.58,-58.56
07-12,-62.85,-63.61,-62.73,-67.85,-69.82,-53.25,-59.1,-56.75,-57.83,-62.13,-64.17
07-13,-61.08,-59.75,-63.17,-69.77,-62.7,-57.34,-54.75,-60.32,-59.47,-61.77,-66.67
07-14,-55.3,-58.84,-63.88,-65.65,-61,-59.68,-55.79,-62.93,-63.1,-55.8,-65.29
07-15,-57.68,-56.24,-58.32,-58.1,-58.47,-58.76,-57.66,-61.23,-66.34,-55.68,-69.06
07-16,-62.24,-60.01,-59.46,-55.37,-58.64,-58.76,-58.47,-61.41,-62.04,-56.63,-64.41
07-17,-59.23,-60.28,-57.96,-56.08,-61.09,-64.69,-58.92,-60.25,-66.4,-56.46,-55.96
07-18,-63.36,-66.93,-59.25,-58.71,-58.52,-68.1,-53.15,-59.94,-62.93,-59.31,-57.82
07-19,-60.12,-60.13,-65.23,-59.64,-60.12,-67.96,-64.36,-61.61,-59.29,-65.73,-56.83
07-20,-53.25,-50.49,-63.2,-64.02,-59.47,-68.76,-64.02,-64.65,-53.99,-62.87,-57.85
07-21,-54.28,-52.48,-66.13,-64.4,-58.46,-66.25,-61.55,-68.57,-55.75,-58.42,-48.11
07-22,-55.53,-57.36,-66.07,-58.32,-63.71,-55.56,-63.42,-65.88,-57.43,-55.29,-47.35
07-23,-66.55,-65.78,-66.94,-59.97,-60.7,-48.09,-61.95,-61.25,-60.62,-55.12,-50.29
07-24,-73.44,-63.9,-66.75,-57.3,-56.54,-48.48,-60.19,-65.13,-60.6,-60.69,-55.62
07-25,-71.11,-58.85,-67.09,-61.88,-55.21,-51.6,-58.51,-63.42,-60.87,-61.15,-66.25
07-26,-68.04,-58.66,-61.72,-60.23,-55.78,-56.65,-55.19,-62.77,-65.51,-63.1,-54.72
07-27,-69.96,-56.61,-57.72,-54.9,-50.71,-58.95,-56.33,-52.29,-60.39,-59.79,-45.58
07-28,-68.78,-54.66,-57.49,-57.89,-46.44,-56.09,-57.28,-45.5,-55.36,-56.05,-45.37
07-29,-66.35,-67.17,-61.28,-61.86,-50.68,-62.54,-59.61,-49.78,-58.68,-59.32,-47.48
07-30,-66.54,-62.07,-62.98,-61.03,-56.31,-65.99,-65.36,-54.17,-57.25,-64.68,-48.59
07-31,-64.96,-58.67,-59.08,-53.1,-57.79,-67.23,-72.17,-61.93,-56.13,-61.71,-53
08-01,-64.07,-50.84,-55.08,-59.77,-59.2,-68.22,-66.49,-67.68,-59.99,-61.98,-48.91
08-02,-62.75,-50.66,-55.43,-59.04,-51.96,-69.9,-65.5,-62.52,-52.71,-56.78,-51.86
08-03,-61.1,-53.51,-55.97,-56.05,-51.73,-73.99,-66.32,-64.37,-57.72,-58.53,-50.35
08-04,-59.53,-56.6,-55.03,-59.02,-49.7,-70.07,-62.38,-64.29,-54.57,-64.1,-53.7
08-05,-62.5,-58.66,-55.43,-58.93,-56.3,-62.99,-59.35,-69.12,-59.68,-56.63,-51.74
08-06,-62.94,-62.57,-60.41,-58.29,-50.78,-56.21,-59.37,-66.38,-60.66,-59.46,-43.87
08-07,-58.77,-65.68,-52.98,-59.95,-54.24,-53.09,-62.14,-61.66,-55.72,-62.55,-45.3
08-08,-55.96,-64.82,-48.49,-61.9,-54.63,-56.39,-64.5,-60.37,-62.23,-63.9,-50.97
08-09,-57.51,-65.07,-51.58,-64.16,-55.62,-54.61,-65.87,-63.71,-61.16,-66.98,-55.39
08-10,-54.74,-60.17,-55.56,-65.78,-51.36,-60.21,-65.55,-66.37,-55.24,-71.36,-46.96
08-11,-60.23,-61.46,-60.29,-68.14,-50.25,-60.14,-61.62,-66.29,-55.99,-70.42,-52.31
08-12,-65.01,-57.53,-57.52,-68.59,-49.67,-56.88,-59.94,-64.59,-58.9,-68.1,-54.7
08-13,-62.42,-58.77,-47.89,-66.7,-55.17,-58.05,-54.44,-66.84,-61.8,-68.96,-54.86
08-14,-65.58,-65.59,-50.14,-63.77,-52.89,-68.86,-54.71,-64.54,-59.24,-68.24,-55.98
08-15,-65.75,-64.99,-51.13,-56.77,-48.61,-66.08,-60.36,-56.79,-56.68,-70.79,-60.05
08-16,-63.06,-62.3,-54.29,-53.86,-48.96,-65.24,-60.4,-47.08,-58.31,-59.97,-64.13
08-17,-64.01,-64.79,-57.45,-51.81,-53.4,-64.62,-65.01,-47.62,-60.15,-67.41,-60.8
08-18,-68.64,-62.97,-61.57,-53.12,-55.01,-63.12,-68.69,-58.91,-63.75,-64.84,-59.64
08-19,-70.39,-64.12,-58.7,-55.39,-58.08,-62.05,-67.3,-60.87,-63.33,-55.95,-57.6
08-20,-67.58,-63.67,-51.8,-54.37,-60.3,-59.58,-62.05,-57.86,-62.97,-61.46,-48.67
08-21,-67.18,-62.14,-60.08,-57.99,-62.38,-54.17,-62.39,-63.72,-65.73,-64.58,-52.92
08-22,-64.9,-66.24,-61.65,-52.74,-62.03,-55.18,-66.59,-64.96,-54.81,-65.59,-58.16
08-23,-59.81,-66.61,-59.24,-57.07,-60.78,-54.2,-64.74,-63.9,-48.98,-56.3,-54.36
