month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
04-29,2.65,0.01,1.93,3.1,2.46,3.07,0.58,4.55,0,41.42,0.39
04-30,88.97,0.03,0.07,0.27,0.9,2.17,17.98,0.15,0.04,39.05,0.67
05-01,13.27,0,6.94,3.47,0,0.69,6.77,0.04,0.05,1.25,0.74
05-02,0.33,0,1.78,2.52,0.02,0.94,0,0.47,13.32,1.36,0.59
05-03,0.43,0.01,25.68,0.03,0.1,2.8,1.14,6.26,0.03,1.59,0.08
05-04,0.12,0.01,15.59,0.01,0.9,4.46,1.76,5.16,3.73,1.65,1.84
05-05,0,0.06,1.67,37.97,0,46.64,0,8.1,0.02,0.27,7.35
05-06,0,0.27,12.11,7.24,2.76,0.03,2.95,0.01,19.7,0,1.69
05-07,0.1,0,2.47,0.42,0.09,0.55,0.05,0.02,24.6,0.39,0.04
05-08,10.68,0.03,5.34,0.06,0.01,3.05,8.15,2.29,1.85,0.67,2.49
05-09,1.2,0.59,0,0.09,0.01,0.05,0.12,7.17,0,0,0.51
05-10,7.3,0.12,0.08,0,4.11,1.23,0,2.41,0.05,0,9.39
05-11,1.81,0.87,0.02,0,0.02,3.98,6.02,0.04,0.23,0,0.16
05-12,0.07,0.63,0.08,0.12,11.15,34.26,0.36,0,0.24,0,5.18
05-13,0.01,0.01,5.21,64.02,18.77,24.21,0,0,1.08,0.02,0.05
05-14,0.75,0,4,7.28,6.42,4.06,0.3,0,5.79,0,0.98
05-15,0.78,0.63,0.46,0.02,3.34,0.5,2.99,0.01,0.41,0,6.39
05-16,24.38,1.69,0,0,15.58,1.11,0.89,0.12,3.25,0,3.33
05-17,2.39,5.57,0.25,0.11,24.27,1.69,0.19,0.05,0.02,0.01,0.11
05-18,0.01,0.8,0.03,0.07,0.24,0.14,0,0,0.37,0,0.64
05-19,0.07,3.25,0.04,0.58,22.49,1.61,0,0,16.8,0.04,0.14
05-20,0.07,0,0.03,1.59,1.54,1.25,0,0,1.67,32.53,0.06
05-21,0.69,0.79,5.7,0.02,0,0,0.02,0,2.28,0.29,0.04
05-22,9.29,0.11,0.73,26.4,7.63,0,4.45,0.01,0.88,0,0.23
05-23,12.65,0,0.97,0.41,0.92,11.43,6.71,0.04,0.61,0.01,15.97
05-24,2.99,0,8.98,3.58,0,0.02,0.58,0,0.06,0.75,0.12
05-25,0.02,0,0,25.06,0.02,3.46,0.78,0,0,0.02,0.14
05-26,0,0.05,0.1,5.18,0.36,25.2,0.13,2.33,0.33,0,1.01
05-27,0.5,1.57,1.86,0.32,16.48,0.34,0.17,0.72,5.91,0,8.9
05-28,0.96,0.78,0.59,0.26,4.89,6.17,2.45,24.12,13.3,0,0.27
05-29,0.02,0.12,10.38,17.38,0.05,9.23,2.53,43.7,0.06,0,3
05-30,0.43,0.41,29.83,2.86,0.16,9.22,0.15,35.73,0.09,0,3.54
05-31,0.04,3.43,1.82,1.64,2.05,0.2,0.02,0.07,0.57,0.02,0.08
06-01,0,27.58,0.04,0.18,4.83,0.09,0.02,0,9.73,0.02,0
06-02,0,27.72,0.16,0.03,3.72,1.95,2.6,0.04,7.09,0.27,0.1
06-03,3.27,2.54,0.74,5.18,6.47,1.02,4.35,8.8,3.5,0.33,0.55
06-04,0.49,1.95,0.88,4.52,12.19,0.01,1.42,4.39,0.01,0.33,0.14
06-05,16.91,3.64,14.62,5.97,0.55,1.74,9.3,0.14,0,0.03,10.64
06-06,0,22.35,0.5,3.21,0.09,2.52,6.86,0.05,0,0.54,12.31
06-07,0,0.03,0.91,0.06,0,0.05,0,0.7,2.76,0.01,0.25
06-08,0.04,0.14,7.72,0,0.01,0,0,8.06,0.75,0.1,0.01
06-09,19.87,3.94,0.01,0.08,0.06,0,0,1.67,7.25,1.18,0.71
06-10,3.94,0,0,0.03,11.96,11.15,0.31,0.04,0.07,0.28,0.1
06-11,0.51,0.42,3.7,0.01,5.22,17.88,24.78,0.47,0.74,0.13,0.26
06-12,1.02,1.05,0.06,0.01,0.04,0,2.56,0.18,3.58,9.77,0.19
06-13,21.17,0.24,0.02,0.46,2.6,26.91,0,0.04,1.91,0.02,0.12
06-14,2.47,3.06,0,0.77,0.07,0.36,0,11.09,0.32,3.24,4.24
06-15,0,21.91,0.36,0.22,0.03,0.1,0,3.97,0.06,0.06,0.09
06-16,0.01,3.98,1.77,3.89,0,1.9,0,0,3.29,5.67,0
06-17,0.11,0.04,0.15,8,0.03,15.58,0.11,0,1.81,0.55,0.12
06-18,0.18,1.23,0,2.15,0.37,8.08,0.91,0.36,0.27,0.06,0.07
06-19,3.64,2.77,0.09,7.84,4.39,5.74,0.31,6.45,0.09,0.15,0.02
06-20,0,2.99,0.03,1.98,1.08,4.22,0.91,0.05,0,0.13,0.05
06-21,0,11.12,0.44,1.22,14.22,20.31,0.27,0.56,2.87,0.2,0.55
06-22,0,0,0.06,0.14,0.13,0.02,0.24,10.08,6.93,2.04,2.25
06-23,0,2.01,0.02,2.27,5.33,0,0.28,0,0.69,1,1.43
06-24,0,0.01,0.24,19.78,2.47,0.1,2.4,0.1,0.11,12.43,4.07
06-25,6.5,0.2,0.02,1.38,0.26,12.29,0.56,0.22,0.04,4.25,0
06-26,1.28,0.55,0.03,0.11,0.02,0.07,1.73,0.92,0.02,15.08,9.3
06-27,0.05,21.82,1.05,4.38,8.39,0.04,5.15,0.21,13.94,6.14,4
06-28,0,7.25,5.76,0.13,4.83,0.04,3.55,0.32,0,3.5,0
06-29,0,0.02,2.71,0.01,0,4.79,1.96,0.15,0.05,0.05,1.53
06-30,0.01,0.81,0.02,1.25,0,0.63,2.82,1.57,0.03,0.07,19.98
07-01,0.04,22.21,12.78,4.67,0,0,4.37,37.2,0.15,0.26,0.69
07-02,14.22,0.44,2.77,0.13,0.04,0.92,2,17.95,1.25,4.07,0
07-03,14.87,0,0.03,0.4,1.56,1.76,2.36,32.82,9.33,6.17,0.03
07-04,12.47,0.3,22.83,0.19,1.74,0.07,14.68,3.68,0.01,6.24,1.02
07-05,0,0.03,11.6,0.05,0.76,0.91,2.34,4.05,1.58,0.86,4.81
07-06,0,0.38,0.01,1.65,13.68,5.82,6.57,8.55,0.04,0.79,6.44
07-07,2.16,3.14,2.28,43.01,0,0.93,3.98,4.19,1.41,2.38,1.49
07-08,1.25,5.68,1.86,1.92,0,10.02,2.02,19.24,1.36,4.03,0.33
07-09,0.99,5.91,5.06,0,0,0.01,0.68,81.2,0.46,22.17,0.73
07-10,1.99,0.59,2.99,0.6,0.06,0.01,39.55,0.95,0,29.34,1.03
07-11,0.05,0.01,0.13,3.37,1.55,11.3,6.09,2.81,0,0,2.84
07-12,0,0.01,0.11,2.95,1.07,10.37,0.26,4.68,5.25,0.11,5.55
07-13,6.86,0.03,0.6,7.46,0.01,0,2.33,3.67,0.6,1.36,4.51
07-14,29.5,7.8,2.09,49.65,0.22,0.56,0.3,3.59,1,10.13,2.74
07-15,18.46,8.76,1.94,0.74,25.6,0,0.46,1.3,0.17,6.6,2.52
07-16,7.1,0.03,3.97,0.04,1.22,0.1,0.07,2.28,2.25,30.41,1.43
07-17,0,0.03,1.81,1.6,11.59,10.03,2.88,9.25,5.44,0.12,14.61
07-18,0,2.23,3.41,1.02,0.45,14.09,0.22,5.62,9.62,4.75,3.56
07-19,0.11,1.01,0.59,0.37,0,1.2,0.33,1.24,0.09,11.51,0.01
07-20,1.31,0.85,0,0.42,0,1.8,2.87,0.53,0.17,0.82,0.21
07-21,0,0.86,0.15,0.54,19.24,4.4,0.05,5.04,1.67,6.13,0.49
07-22,0,0,0.09,7.72,24.88,13.37,4.89,0.04,1.21,0.03,4.44
07-23,1.11,0,0.49,43.28,9.68,38.6,9.89,0.12,0.4,0.23,3.31
07-24,0.74,0,0,25.67,2.81,10.3,13.08,0.64,1.47,2.75,3.06
07-25,0,0.07,32.89,2.89,36.7,0.29,0.16,27.79,5.05,16.67,2.2
07-26,0.48,0.79,0.44,0.06,2.12,0.01,0.03,1.69,0.23,0.32,0.02
07-27,10.08,3.74,0.19,0.56,3.57,0.12,0,0.97,0.63,3.91,0.05
07-28,3.32,1.57,1.13,0.66,5.89,0.37,1.33,1.37,2.99,0.97,0.09
07-29,0,0.08,50.07,5.63,0,1.33,1.64,7.94,9.09,7.27,3.98
07-30,0,16.79,10.45,0,0.57,1.9,3.04,0.2,2.43,0.19,1.82
07-31,0.05,0.79,19.54,0,0.95,9.13,15.07,0,0.38,0.06,7.11
08-01,6.64,1.9,8.64,0.06,4.76,16.48,0.04,1.07,3.68,0.03,2.26
08-02,12,0.07,0.97,5.67,2.74,1.02,3.3,0.34,0.38,0,8.03
08-03,2.28,1.34,0,2.39,8.47,8,1.55,0.25,0.01,0.03,7.59
08-04,0.01,3,0.11,5.69,21.14,3.56,24.12,2.37,1.14,1.32,8.38
08-05,0.09,0.04,0,12.38,0.07,1.14,0.59,3.1,6.06,0.58,0.85
08-06,0.08,0.01,2.81,0,0.3,5.96,1.46,0.02,3.4,0.06,12.18
08-07,0,0.08,0,13.62,5.09,17.36,2.51,0.45,3.02,12.44,24.38
08-08,0,0,0.06,1.48,4.68,2.81,1.55,4.01,0.7,6.61,6.41
08-09,0,0.11,0.11,0.01,2.79,0.35,0.24,2.64,1.22,0.03,20.66
08-10,0,0.2,7.06,0.01,0.61,0.03,1.01,3.94,0.11,28.03,1.88
08-11,0.01,43.2,19.6,0.53,12.97,0,0.76,4.72,3.75,0.02,0.06
08-12,23.07,0.37,8.92,10.5,5.74,0,3.14,0.36,0.07,5.37,0.79
08-13,30.39,0.01,5.18,0.6,22.75,20.51,8.54,0.73,0.01,2.66,0.04
08-14,0.35,0,1.72,0.5,5.13,12.72,0.86,1.94,0.02,1.91,1.04
08-15,0,0.09,0.32,38.64,2.92,0.55,0.11,3.09,0.1,16,0.97
08-16,0.03,0.47,6.99,0.1,0.41,0.84,7.18,0,0.19,13.69,0.38
08-17,0.13,0.17,0.56,0.24,5.86,1.9,6.88,0.87,1.71,2.02,3.86
08-18,0,0.38,1.49,11.91,7.58,3.27,2.18,3.52,0.53,6.26,18.27
08-19,0,1.45,0.84,1.29,9.33,5.24,7.38,3.33,0.03,0.01,7.46
08-20,0.72,3.41,2.07,0.01,0.68,0.05,0.01,12.81,0.43,0.01,0.46
08-21,1.74,8.06,12.61,0.19,1.17,8.77,0.01,4.38,0.94,0.13,0.04
08-22,12.44,0.35,1.1,4.68,3.11,2.73,1.39,66.08,15.4,0,0.01
08-23,0.36,2.32,0,4.78,0.02,11.48,1.92,11.66,2.06,0,0
08-24,0,0.7,0,0.01,0,0.02,5.43,0.03,0.4,3.53,0.02
08-25,0,1.88,0.07,0.01,0,0.47,2.36,0.02,0.3,8.76,0.19
08-26,0,0,0.07,0,0.05,0.09,0.86,0.41,2.38,1.58,3.09
08-27,0.15,0,0,0,0.04,0,2.96,4.01,2.37,0.14,0.22
08-28,0.08,0,0.09,0,0.07,18.2,1.1,7.63,1.81,0.37,1.07
08-29,0,0.01,0.17,27.63,0.05,0.84,14.71,1.39,0.54,0.82,6.46
08-30,0.02,0.03,0.05,0.73,0.08,0.02,0,4.2,2.58,1.58,4.67
08-31,6.69,1.34,0.57,0.33,3.12,0.01,0.01,1.31,0.87,0.01,0.1
09-01,1.67,0,11.93,0,9.37,0,0.98,55.06,0,0,0.89
09-02,0.45,0.2,0.04,19.45,0.07,7.49,3.15,25.52,0,0.09,0.03
09-03,0,0.38,0.01,8,0.2,0.59,3.82,0.04,0.01,1.36,0
09-04,0,1.55,0,0.03,0.22,0.72,1.17,0.02,2.86,1.26,0
09-05,0.29,0,0.25,0.58,0.37,0.04,0,2.04,8,1.28,0.01
09-06,6.82,0,2.15,19.07,2.49,13.87,0.01,0.52,75.12,0.41,0.1
09-07,0.08,0.07,0.69,5.44,8.63,0.05,0,0.01,1.87,2.14,2.92
09-08,0,0.01,0.26,0.03,9.15,0,0.04,1.67,0.18,6.35,0.01
09-09,0.11,5.45,0.33,0.04,39.64,0.28,0.96,14.15,0,7.11,0.01
09-10,0,24.43,0.97,0.01,34.88,0.24,13.13,0.07,0.03,6.4,0
09-11,0.04,1.95,1.27,0,1.99,0.05,8,0.01,6.59,37.85,0
09-12,0,9.39,0,0,4.11,2.98,0.01,0.01,4.81,0.39,0.01
09-13,6.07,2.11,0,1.2,0.86,0.02,0.25,1.34,6.15,8.11,0.01
09-14,0.04,0,2.14,1.99,0.71,0.06,0.09,0.91,0.01,0.18,0
09-15,0.04,0,0.07,0.57,0.31,1.21,0,1.3,0.03,0,0.01
09-16,6.3,0,0.01,0.74,0.05,0.63,0,5.75,0,0,0.03
09-17,0.04,0,0.08,0.21,1.9,0,0.6,0.88,0,1.19,0.22
09-18,0,0.01,1.17,0.25,19.06,0,0.45,0.07,0.04,48.02,0.06
09-19,0.07,0.09,34.34,3.66,0.71,0,0,0.01,2.17,0.01,0.01
09-20,3.85,0.34,2.44,0.06,0.74,0,0,0.07,0.16,0,0.06
09-21,2.97,0,0.01,0,0.3,0,0,0.41,0.02,0.02,0.01
09-22,0.01,0.09,0.02,0.37,0.06,0.01,0,0.72,12.9,0,0.05
09-23,0,0,0.67,0,8.78,0.77,0,13.66,0.01,36.27,0.96
09-24,0.29,0,5.08,0.04,0.13,0.52,0.01,6.29,0,12.69,0.1
09-25,12.21,0,0,0.09,40.89,0,0.05,0.11,4.57,18.23,0.94
09-26,0.01,0,0.28,0.06,4.66,0.79,0.2,0.09,1.4,2.11,1.35
09-27,0,0,13.29,0.08,9.57,0.01,2.34,2.51,0,0.02,4.04
09-28,0,0.22,1.06,0.01,21.41,0.99,1,3.56,0.05,70.49,4.56
09-29,0.08,3.02,1.92,0,0.07,1.31,21.76,0.24,0.01,43.36,3.4
09-30,0.9,31.07,16.56,1.09,0.05,0.14,22.31,0.03,0.22,2.58,0.09
10-01,1.19,25.98,5.63,0.11,0.78,0.08,0.04,0,21.53,0.04,0.05
10-02,0.08,50.76,0.74,0,7.73,0.96,0.95,0,14.16,0.01,0.03
10-03,0.03,4.45,0.55,0,2.88,16.34,0.02,0.35,26.76,0.04,0
10-04,18.63,0.05,0.35,0.01,0.73,1.16,0.07,9.56,30.75,0.05,0.14
10-05,0,0.08,0,0.58,0.08,0,0.53,1.11,10.43,0.28,0.62
10-06,0,0,0.06,0.4,0.25,1.6,0.11,0.21,0.05,3.52,0.03
10-07,0.94,0,0.05,0.05,0.12,1.08,0.16,0.2,0.09,10.6,0.63
10-08,2.92,0.17,11.06,14.45,2.72,0.94,0,0.23,0.9,0.02,0
10-09,0,6.37,34.41,6.68,0.66,4.95,0.01,0.61,0,0.04,0.05
10-10,0.42,0.05,0,0.02,0.33,0.07,0.04,2.07,0,0.12,0
10-11,10.21,0,0.01,1.52,18.57,0.16,5.57,0.21,0.01,0.04,0
10-12,0,0.03,0.07,1.8,29.8,0.12,33.4,0.13,0.02,0,0
10-13,0.72,0.79,0.09,0.4,2.48,2.68,8.74,0.49,34.13,0,0.11
10-14,0.05,0.02,0,2.26,0,6.24,0.01,0.17,8.96,13.71,0.29
10-15,11.11,0.01,0,1.12,5.29,0,0.07,0.05,0.07,0.83,0.03
10-16,16.97,0.03,0.03,0.75,1.06,41.73,26.05,8.05,0.04,0.76,0
10-17,0,0.04,0.08,0,0.01,0.12,10.35,0.85,5.45,0.42,0
10-18,0.02,0.02,0.11,0,0.01,0.01,0.01,0.69,0.81,0.16,0
10-19,0.01,0,0.12,0,0,0,0.84,0,0,0.05,0
10-20,0.01,0,1.48,0,2.1,17.83,0.31,0,0,26.74,0
10-21,11.53,0,4.14,0,0.52,0.38,0.33,0.04,0,7.81,0
10-22,19.07,0.62,23.32,0.06,0,15.44,0.07,0.06,0,0.06,0.01
10-23,14.63,0,0,0.33,0.09,6.96,0.17,1.12,9.2,0,0.03
10-24,0.1,0.01,0.47,24.3,0.07,0,0.12,0.86,10.28,0,0.01
10-25,0.06,2.64,0.01,27.01,0,0.02,1.16,7.24,1.58,0,0
10-26,0.02,0,0,2.89,1.68,1.79,2.42,85.74,0.51,0,0.01
10-27,0,0,28.83,0,56.13,29.89,0.58,8.02,0.02,0,0
10-28,0,37.19,0.31,0.95,0.48,0.26,4.75,0.04,0,0.04,0
10-29,0.65,12.6,0,77.98,2.11,3.59,47.17,15.83,0,8.41,0.14
10-30,0.01,0,8.29,5.68,0.03,5.54,25.71,5.36,0.02,8.03,0.09
10-31,1.19,0,0.11,0,0.02,9.1,0,1.15,5.24,1.15,0.03
11-01,22.78,0.09,0.01,0.04,0.07,6.1,21.46,0.02,1.71,3.83,0.01
11-02,0.25,0,0.01,0.16,9.84,0,0.03,0.32,0,0,0
11-03,0,0,0.25,0.17,22.35,0,0,0.08,0.02,0,0
11-04,0,0.01,0,0.01,0,0,0,0.01,0.14,0.07,0
11-05,0.03,0.24,0,2.23,18.84,0.45,0.04,0,0.12,0.15,0.01
11-06,10.76,0.12,0.01,0.88,10.42,0,0.02,0,0.4,0.04,0
11-07,0.3,0.51,0,22.71,0.02,3.6,0.03,0,0.43,0.99,0.04
11-08,0,0,0,0.76,0,0.03,0,0,0,0,0
11-09,0.01,0,4,0.15,35.4,0,0.01,0.03,0,0.17,0
11-10,0,26.59,0.01,0.14,0.56,0,0.1,0.02,0.08,0.29,2.84
11-11,0,8.87,0,0,0,0.03,50.68,0.14,22.68,0,5
11-12,0.03,2.7,0,0,2.65,3.86,13.8,14.81,7.3,0,0
11-13,3.02,0.01,0,5.88,40.64,0,1.36,2.2,6.52,0,0
