month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
04-06,4.648,3.113,3.897,3.348,4.337,2.370,3.920,3.798,4.291,3.047,0.000
04-07,4.648,3.118,3.428,3.348,4.337,3.367,4.308,3.798,4.291,4.193,0.000
04-08,4.648,3.118,3.428,3.748,4.337,3.367,4.308,5.141,4.291,4.193,16.097
04-09,5.680,3.118,3.428,3.748,3.972,3.367,4.308,5.141,5.324,4.193,0.000
04-10,5.680,4.603,5.539,3.748,3.972,2.464,4.917,5.141,5.324,5.017,0.000
04-11,5.680,4.603,5.539,4.828,3.972,2.464,4.917,4.118,5.324,5.017,9.360
04-12,4.781,4.603,5.539,4.828,3.872,2.464,4.917,4.118,4.692,5.017,0.000
04-13,4.781,5.527,5.740,4.828,3.872,4.477,5.767,4.118,4.692,4.130,0.000
04-14,4.781,5.527,5.740,5.310,3.872,4.477,5.767,3.504,4.692,4.130,13.490
04-15,3.890,5.527,5.740,5.310,4.071,4.477,5.767,3.504,3.846,4.130,0.000
04-16,3.890,5.803,5.444,5.310,4.071,5.910,6.218,3.504,3.846,4.579,0.000
04-17,3.890,5.803,5.444,4.780,4.071,5.910,6.218,3.150,3.846,4.579,11.793
04-18,5.543,5.803,5.444,4.780,4.700,5.910,6.218,3.150,4.753,4.579,0.000
04-19,5.543,5.271,5.739,4.780,4.700,5.268,4.306,3.150,4.753,5.463,0.000
04-20,5.543,5.271,5.739,3.827,4.700,5.268,4.306,4.690,4.753,5.463,11.103
04-21,4.528,5.271,5.739,3.827,6.314,5.268,4.306,4.690,4.930,5.463,0.000
04-22,4.528,6.364,4.518,3.827,6.314,5.183,4.988,4.690,4.930,6.679,0.000
04-23,4.528,6.364,4.518,6.078,6.314,5.183,4.988,5.768,4.930,6.679,10.253
04-24,4.278,6.364,4.518,6.078,5.607,5.183,4.988,5.768,5.873,6.679,0.000
04-25,4.278,5.186,5.897,6.078,5.607,4.491,5.361,5.768,5.873,7.212,0.000
04-26,4.278,5.186,5.897,5.236,5.607,4.491,5.361,5.954,5.873,7.212,16.707
04-27,5.280,5.186,5.897,5.236,5.187,4.491,5.361,5.954,4.309,7.212,0.000
04-28,5.280,5.558,4.801,5.236,5.187,4.459,5.344,5.954,4.309,6.722,0.000
04-29,5.280,5.558,4.801,5.122,5.187,4.459,5.344,6.019,4.309,6.722,15.490
04-30,4.670,5.558,4.801,5.122,3.447,4.459,5.344,6.019,4.636,6.722,0.000
05-01,4.670,7.862,3.936,5.122,3.447,4.618,6.611,6.019,4.636,5.423,0.000
05-02,4.670,7.862,3.936,6.973,3.447,4.618,6.611,5.959,4.636,5.423,15.913
05-03,4.629,7.862,3.936,6.973,4.264,4.618,6.611,5.959,5.339,5.423,0.000
05-04,4.629,7.788,5.586,6.973,4.264,4.304,7.669,5.959,5.339,7.149,0.000
05-05,4.629,7.788,5.586,6.044,4.264,4.304,7.669,5.709,5.339,7.149,19.533
05-06,6.209,7.788,5.586,6.044,4.954,4.304,7.669,5.709,3.914,7.149,0.000
05-07,6.209,5.983,6.657,6.044,4.954,6.419,7.144,5.709,3.914,5.390,0.000
05-08,6.209,5.983,6.657,7.078,4.954,6.419,7.144,6.372,3.914,5.390,13.653
05-09,7.194,5.983,6.657,7.078,5.634,6.419,7.144,6.372,5.237,5.390,0.000
05-10,7.194,6.844,5.450,7.078,5.634,5.020,7.003,6.372,5.237,5.841,0.000
05-11,7.194,6.844,5.450,6.716,5.634,5.020,7.003,5.649,5.237,5.841,20.427
05-12,4.881,6.844,5.450,6.716,4.942,5.020,7.003,5.649,7.313,5.841,0.000
05-13,4.881,6.157,4.801,6.716,4.942,4.560,6.789,5.649,7.313,3.939,0.000
05-14,4.881,6.157,4.801,5.991,4.942,4.560,6.789,7.049,7.313,3.939,21.603
05-15,4.723,6.157,4.801,5.991,5.051,4.560,6.789,7.049,7.649,3.939,0.000
05-16,4.723,5.632,5.891,5.991,5.051,5.066,4.929,7.049,7.649,4.467,0.000
05-17,4.723,5.632,5.891,6.447,5.051,5.066,4.929,6.289,7.649,4.467,22.850
05-18,6.860,5.632,5.891,6.447,4.920,5.066,4.929,6.289,7.477,4.467,0.000
05-19,6.860,4.276,5.752,6.447,4.920,4.780,5.981,6.289,7.477,4.942,0.000
05-20,6.860,4.276,5.752,6.232,4.920,4.780,5.981,7.787,7.477,4.942,18.380
05-21,6.254,4.276,5.752,6.232,6.183,4.780,5.981,7.787,8.243,4.942,0.000
05-22,6.254,5.007,7.361,6.232,6.183,5.348,6.791,7.787,8.243,5.562,0.000
05-23,6.254,5.007,7.361,7.632,6.183,5.348,6.791,6.632,8.243,5.562,21.130
05-24,5.940,5.007,7.361,7.632,7.674,5.348,6.791,6.632,5.784,5.562,0.000
05-25,5.940,4.888,8.830,7.632,7.674,4.833,6.564,6.632,5.784,6.161,0.000
05-26,5.940,4.888,8.830,7.851,7.674,4.833,6.564,7.232,5.784,6.161,22.880
05-27,5.092,4.888,8.830,7.851,6.681,4.833,6.564,7.232,6.994,6.161,0.000
05-28,5.092,6.651,6.488,7.851,6.681,4.793,6.433,7.232,6.994,5.328,0.000
05-29,5.092,6.651,6.488,7.062,6.681,4.793,6.433,6.932,6.994,5.328,22.037
05-30,5.296,6.651,6.488,7.062,6.799,4.793,6.433,6.932,9.130,5.328,0.000
05-31,5.296,6.344,6.407,7.062,6.799,6.033,7.198,6.932,9.130,5.708,0.000
06-01,5.296,6.344,6.407,7.138,6.799,6.033,7.198,7.624,9.130,5.708,20.477
06-02,6.081,6.344,6.407,7.138,6.951,6.033,7.198,7.624,9.593,5.708,0.000
06-03,6.081,6.750,7.350,7.138,6.951,7.442,6.963,7.624,9.593,6.259,0.000
06-04,6.081,6.750,7.350,5.922,6.951,7.442,6.963,7.306,9.593,6.259,21.343
06-05,7.959,6.750,7.350,5.922,6.126,7.442,6.963,7.306,8.913,6.259,0.000
06-06,7.959,7.376,7.557,5.922,6.126,8.554,6.487,7.306,8.913,7.500,0.000
06-07,7.959,7.376,7.557,7.918,6.126,8.554,6.487,6.881,8.913,7.500,27.977
06-08,7.443,7.376,7.557,7.918,7.957,8.554,6.487,6.881,6.804,7.500,0.000
06-09,7.443,8.227,7.889,7.918,7.957,7.207,7.009,6.881,6.804,7.452,0.000
