month-day,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
04-22,0.430,0.000,0.300,0.000,0.027,0.387,4.773,2.587,1.087,0.053,0.200
04-23,0.430,0.000,0.170,0.000,0.000,0.827,2.107,2.293,0.017,0.040,2.090
04-24,0.143,0.000,0.247,0.000,0.443,0.490,0.637,1.073,0.027,0.033,1.890
04-25,0.130,0.130,0.223,0.450,1.220,0.550,1.380,0.337,0.017,0.003,0.000
04-26,0.133,0.897,0.110,0.653,2.287,0.077,1.547,0.333,0.053,0.003,0.900
04-27,0.003,0.903,0.017,1.030,1.873,0.083,2.193,0.150,1.567,0.000,0.000
04-28,0.003,1.180,0.070,0.620,1.383,0.033,1.657,0.017,3.210,0.017,0.000
04-29,0.000,0.433,0.440,0.490,0.917,0.283,1.450,0.333,3.180,0.107,0.150
04-30,0.000,0.427,1.207,0.287,4.437,0.280,0.507,0.817,1.943,0.150,14.230
05-01,0.340,0.020,1.357,0.740,9.120,2.517,0.000,2.857,0.657,0.160,0.080
05-02,0.437,0.000,0.983,0.777,8.553,4.253,0.000,6.340,1.363,0.077,0.110
05-03,0.477,0.000,0.203,0.730,5.020,6.197,0.000,7.543,1.147,0.033,0.010
05-04,0.143,0.000,0.773,0.257,0.940,4.250,0.000,6.053,2.200,0.007,0.000
05-05,0.047,0.000,1.533,0.147,1.387,2.253,0.000,8.213,1.690,0.357,0.000
05-06,0.007,0.000,10.737,0.020,2.187,0.307,0.000,7.003,3.100,1.497,0.010
05-07,0.000,0.000,10.000,0.000,1.857,0.000,0.000,6.447,1.950,1.690,7.230
05-08,0.000,0.000,9.240,0.000,1.783,0.000,0.013,0.477,1.897,1.390,1.380
05-09,0.000,0.000,0.053,0.000,1.143,0.000,0.050,0.123,0.920,0.293,0.350
05-10,0.000,0.000,1.597,0.000,1.190,0.057,0.053,0.123,0.750,0.260,0.040
05-11,0.000,0.000,1.653,0.000,0.820,0.110,0.040,0.123,0.597,0.443,0.000
05-12,0.000,0.000,2.620,0.000,1.070,0.303,0.003,0.000,0.090,2.603,0.020
05-13,0.000,0.000,1.440,0.133,0.510,0.493,0.000,0.000,0.000,13.370,0.960
05-14,0.000,0.033,1.383,0.137,0.517,0.440,0.003,0.000,0.153,18.603,0.090
05-15,0.010,0.727,0.410,0.137,0.773,0.270,0.073,0.000,1.547,16.503,0.000
05-16,2.683,2.923,0.010,0.003,2.533,0.037,2.247,0.000,1.583,6.593,1.060
05-17,2.720,2.950,0.120,0.000,5.940,0.057,3.423,0.000,1.433,2.190,2.110
05-18,4.113,2.323,0.137,0.000,16.830,0.150,3.397,0.000,0.040,10.857,0.890
05-19,1.440,1.267,0.157,0.000,18.630,0.143,1.227,0.000,0.003,11.993,2.820
05-20,1.430,4.690,0.047,0.000,15.237,1.807,0.047,0.000,0.000,11.200,5.230
05-21,0.517,4.637,0.020,0.230,4.470,2.963,0.003,0.000,0.000,3.477,0.050
05-22,2.097,3.550,0.000,0.507,0.863,2.957,0.000,0.003,0.000,1.953,0.020
05-23,3.003,0.083,0.000,0.507,0.807,4.767,0.000,0.010,0.003,7.670,0.180
05-24,4.653,0.107,0.000,0.283,0.000,14.573,0.000,0.013,1.300,8.090,2.190
05-25,3.453,1.083,0.000,0.177,0.000,16.170,0.003,0.517,2.220,7.537,0.400
05-26,6.273,1.127,0.000,0.640,0.093,13.407,0.407,0.587,2.957,1.563,0.000
05-27,11.653,1.090,0.013,0.640,0.443,2.337,0.637,0.607,1.670,1.727,0.050
05-28,11.467,0.107,0.017,0.477,0.743,0.817,1.540,0.107,0.753,5.413,0.070
05-29,7.720,0.353,0.017,0.510,0.773,0.100,1.227,0.033,0.593,7.883,0.040
05-30,0.280,2.097,4.777,2.207,0.617,0.090,3.713,0.393,0.703,9.513,0.000
05-31,1.323,2.287,5.340,3.127,0.360,0.013,3.127,2.093,0.700,7.167,0.020
06-01,2.530,1.980,5.340,3.420,0.683,0.000,3.040,2.150,0.120,5.207,0.340
06-02,2.620,0.237,0.567,1.733,0.767,0.000,0.343,2.010,0.000,2.813,8.210
06-03,1.383,0.000,0.050,4.070,0.933,0.000,0.453,0.897,0.000,7.867,0.280
06-04,0.170,0.000,0.090,8.250,0.510,0.003,0.470,0.937,0.000,7.610,0.290
06-05,0.000,0.000,0.097,8.733,0.417,0.010,0.543,0.703,0.010,6.800,0.000
06-06,0.000,0.200,0.047,5.473,0.680,0.010,0.920,0.110,0.277,0.653,0.000
06-07,0.000,4.427,0.007,0.510,0.663,0.007,1.873,0.010,0.277,1.183,0.000
06-08,0.000,6.367,0.000,0.010,0.480,0.000,1.937,0.000,0.287,1.330,0.000
06-09,1.563,6.207,0.000,0.007,0.010,0.000,1.140,0.000,0.020,1.467,0.000
06-10,4.483,1.980,0.033,0.000,0.027,0.003,0.167,0.000,0.020,0.733,0.000
06-11,5.283,0.167,0.033,0.000,0.027,0.003,0.240,0.000,0.000,3.957,0.000
06-12,3.890,0.283,0.033,0.000,0.133,0.003,0.417,0.000,0.000,8.607,0.000
06-13,1.060,0.283,0.000,0.000,0.170,0.000,0.430,0.000,0.000,14.197,0.000
06-14,2.517,0.240,0.000,0.000,0.173,0.000,0.200,0.000,0.000,10.787,0.000
06-15,4.647,0.553,0.060,0.000,0.063,0.007,0.013,0.000,0.000,5.677,1.910
06-16,5.223,0.573,0.137,0.003,0.003,0.267,0.000,0.070,0.000,0.017,0.930
06-17,3.233,0.523,0.437,0.010,0.003,0.267,0.000,0.133,0.000,0.003,0.000
06-18,1.017,0.213,0.987,0.027,0.017,0.263,0.003,0.133,0.000,0.043,0.000
06-19,0.350,0.230,0.963,0.033,0.270,0.007,0.013,0.063,0.000,0.043,0.000
